Here is the following output from running $jshint app.js, which is a singke file:
app.js: line 20, col 1, Use the function form of "use strict".
app.js: line 24, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
app.js: line 30, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
app.js: line 31, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
app.js: line 33, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
app.js: line 39, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
app.js: line 41, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
app.js: line 43, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
app.js: line 52, col 18, 'template literal syntax' is only available in ES6 (use 'esversion: 6').
app.js: line 22, col 1, 'require' is not defined.
app.js: line 24, col 15, 'require' is not defined.
app.js: line 30, col 17, 'require' is not defined.
app.js: line 31, col 14, 'require' is not defined.
app.js: line 33, col 14, 'require' is not defined.
app.js: line 43, col 18, 'require' is not defined.
app.js: line 59, col 5, 'require' is not defined.
app.js: line 61, col 5, 'require' is not defined.
app.js: line 63, col 5, 'require' is not defined.
app.js: line 65, col 5, 'require' is not defined.
app.js: line 73, col 5, 'require' is not defined.
app.js: line 75, col 5, 'require' is not defined.
app.js: line 77, col 5, 'require' is not defined.
app.js: line 79, col 5, 'require' is not defined.
app.js: line 81, col 5, 'require' is not defined.
app.js: line 35, col 1, 'process' is not defined.
app.js: line 35, col 24, 'process' is not defined.
app.js: line 36, col 14, 'process' is not defined.
app.js: line 50, col 6, 'process' is not defined.
app.js: line 36, col 1, 'global' is not defined.
app.js: line 39, col 33, '__dirname' is not defined.

30 errors

Here is the following output from running $jshint nodebb-plugin-anonymous-checkbox/, which is a directory: 
nodebb-plugin-anonymous-checkbox/library.js: line 1, col 1, Use the function form of "use strict".
nodebb-plugin-anonymous-checkbox/library.js: line 3, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 5, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 6, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 7, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 10, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 15, col 27, 'async functions' is only available in ES8 (use 'esversion: 8').
nodebb-plugin-anonymous-checkbox/library.js: line 18, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
nodebb-plugin-anonymous-checkbox/library.js: line 19, col 13, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
